frame= 128 | y=1.20 | obs0_x=-10.75
frame= 129 | y=0.00 | obs0_x=-10.83
frame= 130 | y=0.00 | obs0_x=-10.92
frame= 131 | y=0.00 | obs0_x=-11.00
frame= 132 | y=1.20 | obs0_x=-11.08
frame= 133 | y=0.00 | obs0_x=-11.17
frame= 134 | y=0.00 | obs0_x=-11.25
frame= 135 | y=0.00 | obs0_x=-11.33
frame= 136 | y=0.00 | obs0_x=-11.42
frame= 137 | y=1.20 | obs0_x=-11.50
frame= 138 | y=0.00 | obs0_x=-11.58
frame= 139 | y=0.00 | obs0_x=-11.67
frame= 140 | y=0.00 | obs0_x=-11.75
frame= 141 | y=0.00 | obs0_x=-11.83
frame= 142 | y=0.00 | obs0_x=-11.92
frame= 143 | y=1.20 | obs0_x=-12.00
frame= 144 | y=0.00 | obs0_x=-12.08
frame= 145 | y=0.00 | obs0_x=-12.17
frame= 146 | y=1.20 | obs0_x=-12.25
frame= 147 | y=0.00 | obs0_x=-12.33
frame= 148 | y=0.00 | obs0_x=-12.42
frame= 149 | y=0.00 | obs0_x=-12.50
frame= 150 | y=0.00 | obs0_x=-12.58
frame= 151 | y=0.00 | obs0_x=-12.67
frame= 152 | y=1.20 | obs0_x=-12.75
frame= 153 | y=1.20 | obs0_x=-12.83
frame= 154 | y=0.00 | obs0_x=-12.92
frame= 155 | y=0.00 | obs0_x=-13.00
frame= 156 | y=1.20 | obs0_x=-13.08
frame= 157 | y=0.00 | obs0_x=-13.17
frame= 158 | y=0.00 | obs0_x=-13.25
frame= 159 | y=0.00 | obs0_x=-13.33
frame= 160 | y=1.20 | obs0_x=-13.42
frame= 161 | y=0.00 | obs0_x=-13.50
frame= 162 | y=0.00 | obs0_x=-13.58
frame= 163 | y=1.20 | obs0_x=-13.67
frame= 164 | y=1.20 | obs0_x=-13.75
frame= 165 | y=0.00 | obs0_x=-13.83
frame= 166 | y=0.00 | obs0_x=-13.92
frame= 167 | y=1.20 | obs0_x=-14.00
frame= 168 | y=0.00 | obs0_x=-14.08
frame= 169 | y=0.00 | obs0_x=-14.17
frame= 170 | y=1.20 | obs0_x=-14.25
frame= 171 | y=0.00 | obs0_x=-14.33
frame= 172 | y=1.20 | obs0_x=-14.42
frame= 173 | y=1.20 | obs0_x=-14.50
frame= 174 | y=1.20 | obs0_x=-14.58
frame= 175 | y=0.00 | obs0_x=-14.67
frame= 176 | y=0.00 | obs0_x=-14.75
frame= 177 | y=1.20 | obs0_x=-14.83
frame= 178 | y=0.00 | obs0_x=-14.92
frame= 179 | y=0.00 | obs0_x=-15.00
frame= 180 | y=0.00 | obs0_x=-15.08
frame= 181 | y=0.00 | obs0_x=-15.17
frame= 182 | y=0.00 | obs0_x=-15.25
frame= 183 | y=0.00 | obs0_x=-15.33
frame= 184 | y=0.00 | obs0_x=-15.42
frame= 185 | y=1.20 | obs0_x=-15.50
frame= 186 | y=0.00 | obs0_x=-15.58
frame= 187 | y=0.00 | obs0_x=-15.67
frame= 188 | y=0.00 | obs0_x=-15.75
frame= 189 | y=0.00 | obs0_x=-15.83
frame= 190 | y=0.00 | obs0_x=-15.92
frame= 191 | y=0.00 | obs0_x=-16.00
frame= 192 | y=0.00 | obs0_x=-16.08
frame= 193 | y=0.00 | obs0_x=-16.17
frame= 194 | y=0.00 | obs0_x=-16.25
frame= 195 | y=0.00 | obs0_x=-16.33
frame= 196 | y=0.00 | obs0_x=-16.42
frame= 197 | y=0.00 | obs0_x=-16.50
frame= 198 | y=0.00 | obs0_x=-16.58
frame= 199 | y=0.00 | obs0_x=-16.67
frame= 200 | y=0.00 | obs0_x=-16.75
frame= 201 | y=0.00 | obs0_x=-16.83
frame= 202 | y=0.00 | obs0_x=-16.92
frame= 203 | y=0.00 | obs0_x=-17.00
frame= 204 | y=0.00 | obs0_x=-17.08
frame= 205 | y=0.00 | obs0_x=-17.17
frame= 206 | y=0.00 | obs0_x=-17.25
frame= 207 | y=0.00 | obs0_x=-17.33
frame= 208 | y=1.20 | obs0_x=-17.42
frame= 209 | y=0.00 | obs0_x=-17.50
frame= 210 | y=0.00 | obs0_x=-17.58
frame= 211 | y=0.00 | obs0_x=-17.67
frame= 212 | y=0.00 | obs0_x=-17.75
frame= 213 | y=0.00 | obs0_x=-17.83
frame= 214 | y=0.00 | obs0_x=-17.92
frame= 215 | y=0.00 | obs0_x=-18.00
frame= 216 | y=0.00 | obs0_x=-18.08
frame= 217 | y=0.00 | obs0_x=-18.17
frame= 218 | y=0.00 | obs0_x=-18.25
frame= 219 | y=1.20 | obs0_x=-18.33
frame= 220 | y=0.00 | obs0_x=-18.42
frame= 221 | y=0.00 | obs0_x=-18.50
frame= 222 | y=0.00 | obs0_x=-18.58
frame= 223 | y=1.20 | obs0_x=-18.67
frame= 224 | y=0.00 | obs0_x=-18.75
frame= 225 | y=0.00 | obs0_x=-18.83
frame= 226 | y=0.00 | obs0_x=-18.92
frame= 227 | y=0.00 | obs0_x=-19.00
frame= 228 | y=1.20 | obs0_x=-19.08
frame= 229 | y=0.00 | obs0_x=-19.17
frame= 230 | y=0.00 | obs0_x=-19.25
frame= 231 | y=0.00 | obs0_x=-19.33
frame= 232 | y=0.00 | obs0_x=-19.42
frame= 233 | y=1.20 | obs0_x=-19.50
frame= 234 | y=0.00 | obs0_x=-19.58
frame= 235 | y=0.00 | obs0_x=-19.67
frame= 236 | y=1.20 | obs0_x=-19.75
frame= 237 | y=0.00 | obs0_x=-19.83
frame= 238 | y=0.00 | obs0_x=-19.92
frame= 239 | y=0.00 | obs0_x=-20.00
frame= 240 | y=0.00 | obs0_x=-20.08
frame= 241 | y=0.00 | obs0_x=-20.17
frame= 242 | y=0.00 | obs0_x=-20.25
frame= 243 | y=0.00 | obs0_x=-20.33
frame= 244 | y=0.00 | obs0_x=-20.42
frame= 245 | y=1.20 | obs0_x=-20.50
frame= 246 | y=0.00 | obs0_x=-20.58
frame= 247 | y=1.20 | obs0_x=-20.67
frame= 248 | y=0.00 | obs0_x=-20.75
frame= 249 | y=0.00 | obs0_x=-20.83
frame= 250 | y=1.20 | obs0_x=-20.92
frame= 251 | y=1.20 | obs0_x=-21.00
frame= 252 | y=0.00 | obs0_x=-21.08
frame= 253 | y=0.00 | obs0_x=-21.17
frame= 254 | y=0.00 | obs0_x=-21.25
frame= 255 | y=0.00 | obs0_x=-21.33
frame= 256 | y=0.00 | obs0_x=-21.42
frame= 257 | y=0.00 | obs0_x=-21.50
frame= 258 | y=1.20 | obs0_x=-21.58
frame= 259 | y=0.00 | obs0_x=-21.67
frame= 260 | y=0.00 | obs0_x=-21.75
frame= 261 | y=0.00 | obs0_x=-21.83
frame= 262 | y=1.20 | obs0_x=-21.92
frame= 263 | y=1.20 | obs0_x=-22.00
frame= 264 | y=0.00 | obs0_x=-22.08
frame= 265 | y=0.00 | obs0_x=-22.17
frame= 266 | y=1.20 | obs0_x=-22.25
frame= 267 | y=1.20 | obs0_x=-22.33
frame= 268 | y=1.20 | obs0_x=-22.42
frame= 269 | y=0.00 | obs0_x=-22.50
frame= 270 | y=0.00 | obs0_x=-22.58
frame= 271 | y=0.00 | obs0_x=-22.67
frame= 272 | y=0.00 | obs0_x=-22.75
frame= 273 | y=0.00 | obs0_x=-22.83
frame= 274 | y=0.00 | obs0_x=-22.92
frame= 275 | y=0.00 | obs0_x=-23.00
frame= 276 | y=0.00 | obs0_x=-23.08
frame= 277 | y=0.00 | obs0_x=-23.17
frame= 278 | y=0.00 | obs0_x=-23.25
frame= 279 | y=0.00 | obs0_x=-23.33
frame= 280 | y=1.20 | obs0_x=-23.42
frame= 281 | y=1.20 | obs0_x=-23.50
frame= 282 | y=1.20 | obs0_x=-23.58
frame= 283 | y=0.00 | obs0_x=-23.67
frame= 284 | y=1.20 | obs0_x=-23.75
frame= 285 | y=0.00 | obs0_x=-23.83
frame= 286 | y=1.20 | obs0_x=-23.92
frame= 287 | y=0.00 | obs0_x=-24.00
frame= 288 | y=0.00 | obs0_x=-24.08
frame= 289 | y=1.20 | obs0_x=-24.17
frame= 290 | y=0.00 | obs0_x=-24.25
frame= 291 | y=1.20 | obs0_x=-24.33
frame= 292 | y=0.00 | obs0_x=-24.42
frame= 293 | y=0.00 | obs0_x=-24.50
frame= 294 | y=1.20 | obs0_x=-24.58
frame= 295 | y=1.20 | obs0_x=-24.67
frame= 296 | y=1.20 | obs0_x=-24.75
frame= 297 | y=0.00 | obs0_x=-24.83
frame= 298 | y=0.00 | obs0_x=-24.92
frame= 299 | y=0.00 | obs0_x=-25.00
frame= 300 | y=0.00 | obs0_x=-25.08
frame= 301 | y=0.00 | obs0_x=-25.17
frame= 302 | y=0.00 | obs0_x=-25.25
frame= 303 | y=0.00 | obs0_x=-25.33
frame= 304 | y=1.20 | obs0_x=-25.42
frame= 305 | y=0.00 | obs0_x=-25.50
frame= 306 | y=1.20 | obs0_x=-25.58
frame= 307 | y=0.00 | obs0_x=-25.67
frame= 308 | y=0.00 | obs0_x=-25.75
frame= 309 | y=1.20 | obs0_x=-25.83
frame= 310 | y=0.00 | obs0_x=-25.92
frame= 311 | y=0.00 | obs0_x=-26.00
frame= 312 | y=0.00 | obs0_x=-26.08
frame= 313 | y=0.00 | obs0_x=-26.17
frame= 314 | y=0.00 | obs0_x=-26.25
frame= 315 | y=0.00 | obs0_x=-26.33
frame= 316 | y=1.20 | obs0_x=-26.42
frame= 317 | y=1.20 | obs0_x=-26.50
frame= 318 | y=0.00 | obs0_x=-26.58
frame= 319 | y=0.00 | obs0_x=-26.67
frame= 320 | y=0.00 | obs0_x=-26.75
frame= 321 | y=0.00 | obs0_x=-26.83
frame= 322 | y=0.00 | obs0_x=-26.92
frame= 323 | y=0.00 | obs0_x=-27.00
frame= 324 | y=1.20 | obs0_x=-27.08
frame= 325 | y=0.00 | obs0_x=-27.17
frame= 326 | y=0.00 | obs0_x=-27.25
frame= 327 | y=0.00 | obs0_x=-27.33
frame= 328 | y=0.00 | obs0_x=-27.42
frame= 329 | y=0.00 | obs0_x=-27.50
frame= 330 | y=0.00 | obs0_x=-27.58
frame= 331 | y=0.00 | obs0_x=-27.67
frame= 332 | y=0.00 | obs0_x=-27.75
frame= 333 | y=0.00 | obs0_x=-27.83
frame= 334 | y=0.00 | obs0_x=-27.92
frame= 335 | y=0.00 | obs0_x=-28.00
frame= 336 | y=0.00 | obs0_x=-28.08
frame= 337 | y=1.20 | obs0_x=-28.17
frame= 338 | y=0.00 | obs0_x=-28.25
frame= 339 | y=0.00 | obs0_x=-28.33
frame= 340 | y=0.00 | obs0_x=-28.42
frame= 341 | y=0.00 | obs0_x=-28.50
frame= 342 | y=0.00 | obs0_x=-28.58
frame= 343 | y=0.00 | obs0_x=-28.67
frame= 344 | y=0.00 | obs0_x=-28.75
frame= 345 | y=0.00 | obs0_x=-28.83
frame= 346 | y=0.00 | obs0_x=-28.92
frame= 347 | y=0.00 | obs0_x=-29.00
frame= 348 | y=0.00 | obs0_x=-29.08
frame= 349 | y=0.00 | obs0_x=-29.17
frame= 350 | y=0.00 | obs0_x=-29.25
frame= 351 | y=0.00 | obs0_x=-29.33
frame= 352 | y=0.00 | obs0_x=-29.42
frame= 353 | y=0.00 | obs0_x=-29.50
frame= 354 | y=0.00 | obs0_x=-29.58
frame= 355 | y=1.20 | obs0_x=-29.67
frame= 356 | y=0.00 | obs0_x=-29.75
frame= 357 | y=0.00 | obs0_x=-29.83
frame= 358 | y=0.00 | obs0_x=-29.92
frame= 359 | y=0.00 | obs0_x=-30.00
frame= 360 | y=0.00 | obs0_x=-30.08
frame= 361 | y=1.20 | obs0_x=-30.17
frame= 362 | y=0.00 | obs0_x=-30.25
frame= 363 | y=0.00 | obs0_x=-30.33
frame= 364 | y=0.00 | obs0_x=-30.42
frame= 365 | y=0.00 | obs0_x=-30.50
frame= 366 | y=0.00 | obs0_x=-30.58
frame= 367 | y=0.00 | obs0_x=-30.67
frame= 368 | y=1.20 | obs0_x=-30.75
frame= 369 | y=0.00 | obs0_x=-30.83
frame= 370 | y=0.00 | obs0_x=-30.92
frame= 371 | y=0.00 | obs0_x=-31.00
frame= 372 | y=0.00 | obs0_x=-31.08
frame= 373 | y=1.20 | obs0_x=-31.17
frame= 374 | y=1.20 | obs0_x=-31.25
frame= 375 | y=0.00 | obs0_x=-31.33
frame= 376 | y=0.00 | obs0_x=-31.42
frame= 377 | y=0.00 | obs0_x=-31.50
